event_id,event_date,location_name,sector,latitude,longitude,coordinate_type,elevation_m,rainfall_mm,rainfall_station,rainfall_measurement_period,max_1hr_rain_mmhr,waterlogging_observed,water_depth_cm,severity,waterlogging_duration_hr,drain_overflow,traffic_impact,infrastructure_impact,source_type,source_confidence,source_url,notes,target_label,coordinate_precision,rainfall_is_local_measurement,rainfall_missing_reason,label_notes
DWK-2008-01,2008-09-18,Dwarka Sector 20,20,28.57124,77.05826,sector_centroid,215.2,,,,1,40,High,,1,0,0,Delhi Govt official,A,https://environment.delhi.gov.in/sites/default/files/inline-files/aemc18_sept_2008.pdf,Official Delhi govt material documents waterlogging in Sector 20 due to wastewater from Pochanpur.,1,low,No,No reliable event-linked rainfall measurement recovered; do not impute manually.,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2008-02,2008-09-18,Dwarka Sector 22,22,28.55939,77.05878,sector_reference,216.5,,,,1,35,High,,1,0,0,Delhi Govt official,A,https://environment.delhi.gov.in/sites/default/files/inline-files/aemc18_sept_2008.pdf,Official Delhi govt material documents waterlogging in Sector 22 due to wastewater from Pochanpur.,1,low,No,No reliable event-linked rainfall measurement recovered; do not impute manually.,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2018-01,2018-07-22,"Road No. 219, K.M. Chowk to Ashirwad Chowk, Sector 12",12,28.59664,77.05020,named_landmark,216.0,64.8,Palam,08:30-17:30,28.5,1,45,High,,0,1,0,Delhi Flood Control official,A,https://ifc.delhi.gov.in/sites/default/files/ifc/universal/fco-2023.pdf,Flood Control records this exact Dwarka location and date; Palam rainfall is a separate nearby-station observation.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2018-02,2018-08-28,Dwarka / multiple reported waterlogging points,Dwarka,28.57427,77.06533,representative_point,215.8,101.0,Palam,24h observation,42.0,1,50,High,,0,1,0,Major news + IMD report,B,https://www.outlookindia.com/national/heavy-rains-in-delhi-gurgaon-office-goers-wade-through-waterlogged-roads-traffic-news-315652,"Palam recorded 101 mm; Dwarka was explicitly reported waterlogged. Event point is representative, not an exact incident coordinate.",1,low,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2020-01,2020-08-13,Dwarka underpass,Dwarka underpass,28.56478,77.05803,nearby_official_reference,210.1,93.6,Palam,24h ending 08:30,38.0,1,75,High,,0,1,0,News + IMD report,A,https://scroll.in/latest/970247/delhi-records-heaviest-rain-of-the-season-traffic-jams-flooding-in-several-areas,ANI/Scroll explicitly reports flooding at an underpass in Dwarka; Palam recorded 93.6 mm.,1,medium,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2021-01,2021-08-21,Dwarka-Palam Flyover,Dwarka-Palam,28.58394,77.09155,named_landmark,214.5,139.8,Palam,24h observation,54.0,1,45,High,,0,1,0,News + ANI report,B,https://www.aajtak.in/india/delhi/story/traffic-congestion-near-dwarka-palam-flyover-due-to-waterlogging-today-delhi-heavy-rainfall-lbs-1313551-2021-08-21,Waterlogging and traffic congestion explicitly reported at Dwarka-Palam flyover.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2022-01,2022-07-20,Dwarka-Palam Underpass,Dwarka-Palam,28.58394,77.09155,named_landmark,210.0,92.4,Palam,Reported event period,45.0,1,85,Very High,<1,1,1,0,Major news + IMD report,A,https://timesofindia.indiatimes.com/city/delhi/motorists-in-knee-deep-water-near-igi/articleshow/93013524.cms,Scores of motorists stuck in knee-deep water; both carriageways flooded. Report says water rose to waist height in about half an hour of heavy rain.,1,high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2022-02,2022-07-20,"Road No. 201, Rajapuri Chowk near Sector 9",9,28.57721,77.06721,Delhi Traffic Police reference,216.1,92.4,Palam,Reported event period,45.0,1,40,High,,0,1,0,Delhi Flood Control + Traffic Police,A,https://ifc.delhi.gov.in/sites/default/files/ifc/circulars-orders/fco_2025.pdf,Official Flood Control Order lists this Dwarka location on 20.07.2022; coordinate is anchored to official Delhi Traffic Police Sec-9 reference.,1,medium-high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2022-03,2022-09-22,Dwarka underpass under airport light,Dwarka underpass,28.56478,77.05803,nearby_official_reference,210.1,55.0,Palam,Reported event period,25.0,1,60,High,0.75,0,1,0,Major news report,B,https://www.ndtv.com/delhi-news/water-logging-traffic-jams-in-delhi-after-2nd-consecutive-day-of-rain-3367975,Report states commuters experienced waterlogging in Dwarka underpass for about 45 minutes.,1,medium,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
DWK-2022-04,2022-10-09,"Dwarka Road, Dwarka Court, Sector 9 & 10",9;10,28.57721,77.06721,Delhi Traffic Police reference,216.5,48.0,Palam,Reported event period,22.0,1,35,High,,0,1,0,Delhi Flood Control official,A,https://ifc.delhi.gov.in/sites/default/files/ifc/circulars-orders/fco_2025.pdf,"Official compiled list records waterlogging at Dwarka Court, Sectors 9 & 10 on 09.10.2022.",1,medium-high,No,,Positive waterlogging observation; coordinate may represent exact landmark or a sector/reference point. Keep coordinate_type and confidence during model training.
